Email Name,Master Tags,Level 2 Tags,Level 3 Tags,Level 4 Tags,Email Channel,Programmable Email,Sequence Position,Sequence Total,Is Enumerated Sequence,Email Family,Implementation Surface,HubSpot Email ID,HubSpot State,Workflow IDs,Subscription Type,Subject,Preview Text,Publish Readiness,Review Status,Needs Rewrite,Module Wiring Status,Master Email Modules,Duplicate Merge Status,Notes
"Newsletter, Welcome, Service - 4 of 5, Maintenance Education - Maintenance Tips - Seasonal","Newsletter, Welcome, Service","4 of 5, Maintenance Education",Maintenance Tips - Seasonal,,Marketing,No,4.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,Subject: The maintenance routine most customers follow Preview: 15 minutes every 2–4 weeks. That's it. Goal: Reply for recommendation QA build: not_built Moved out of non-marketing cleanup: newsletter maintenance education belongs to Marketing or should merge into Maintenance Academy.
"Newsletter, Welcome, Sales - 5 of 5, Consultation - Soft Consultation Invite","Newsletter, Welcome, Sales","5 of 5, Consultation",Soft Consultation Invite,,Marketing,No,5.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Proof, Footer",needs merge review,Subject: Whenever you're ready Preview: No rush. But here's what the next step looks like. Goal: Consultation booking link QA build: not_built
"Newsletter, Welcome - Newsletter - Monthly Newsletter","Newsletter, Welcome",Newsletter,Monthly Newsletter,,Marketing,No,,,,Newsletter-week,Standard marketing,,,,,,,,,,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",single source,Canonical reference: J2 initial nurture continues into an ongoing monthly newsletter. Content mix should be roughly 80% education/confidence/maintenance/product guidance and 20% campaign/offer/launch/promotion.
"Newcust, Postpurch, Service - 1 of 8 - Order Confirmation - ""artisan Commencement","Newcust, Postpurch, Service",1 of 8,"Order Confirmation - ""artisan Commencement",,Service,Candidate/Needs Review,1.0,8.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Proof, Footer",needs merge review,"Subject: Order #{{ order.hs_external_order_id }}: Your custom system is in production Preview: Our artisans have begun your build. Here's what happens next. Goal: None (reassurance, not action) QA build: not_built"
"Newcust, Postpurch, Service - 2 of 8 - Preparation Guide","Newcust, Postpurch, Service",2 of 8,Preparation Guide,,Service,Yes,2.0,8.0,Yes,Flow-post-purchase,Programmable marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Base type guidance",needs merge review,Subject: Getting ready for your first system Preview: What to have on hand + how to find the right barber. Goal: Reply for barber recommendation QA build: not_built
"Newcust, Postpurch, Service - 3 of 8, Shipping Update - Shipping Notification","Newcust, Postpurch, Service","3 of 8, Shipping Update",Shipping Notification,,Service,Candidate/Needs Review,3.0,8.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,Subject: Your system is on its way — #{{ order.hs_external_order_id }} Preview: Track your delivery and prepare for your first fitting. Goal: Track delivery link QA build: not_built
"Newcust, Postpurch, Service - 4 of 8 - Arrival Check-in","Newcust, Postpurch, Service",4 of 8,Arrival Check-in,,Service,Candidate/Needs Review,4.0,8.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Footer, Urgency cue",needs merge review,"Subject: Did everything arrive OK, {{ contact.firstname }}? Preview: Quick check before your first fitting. Goal: Reply with confirmation or photo QA build: not_built"
"Newcust, Postpurch, Service - 5 of 8, Maintenance Education - Maintenance Academy - Week 1 - Cleansing","Newcust, Postpurch, Service","5 of 8, Maintenance Education",Maintenance Academy,Week 1 - Cleansing,Service,Candidate/Needs Review,5.0,8.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,Subject: Lesson 1: How to wash your system properly Preview: The daily cleansing routine takes 3 minutes. Goal: None (educational) QA build: not_built
"Newcust, Postpurch, Service - 6 of 8, Maintenance Education - Maintenance Academy - Week 2 - Conditioning and Drying","Newcust, Postpurch, Service","6 of 8, Maintenance Education",Maintenance Academy,Week 2 - Conditioning and Drying,Service,Candidate/Needs Review,6.0,8.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,Subject: Lesson 2: Keep the hair soft and natural Preview: System hair doesn't get natural oils from your scalp. Here's how to compensate. Goal: None (educational) QA build: not_built
"Newcust, Postpurch, Service - 7 of 8 - Styling and Removal","Newcust, Postpurch, Service",7 of 8,Styling and Removal,,Service,Yes,7.0,8.0,Yes,Flow-post-purchase,Programmable marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Base type guidance",needs merge review,"Subject: Lesson 3: Styling and your first removal Preview: What products to use, and how to safely remove your system. Goal: Watch video guide, reply for help QA build: not_built"
"Newcust, Postpurch, Service - 8 of 8, Review Request - Review Request and Next Steps","Newcust, Postpurch, Service","8 of 8, Review Request",Review Request and Next Steps,,Service,Yes,8.0,8.0,Yes,Flow-post-purchase,Programmable marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Proof, Footer, Lifespan next step",needs merge review,"Subject: How's your system feel, {{ contact.firstname }}? Preview: Quick check-in — and a favor to ask. Goal: Leave review link QA build: not_built"
System Reorder - 1 of 3 - Mid-Cycle Care Check,System Reorder,1 of 3,Mid-Cycle Care Check,,Service,Candidate/Needs Review,1.0,3.0,Yes,System replacement/reorder,"Workflow-triggered, Programmable service",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,"Subject: How's your {{ customer profile field | default(""system"") }} holding up? Preview: A few mid-cycle tips to extend the life of your current system. Goal: Reply with feedback QA build: not_built Distinct from supplies reorder; focuses on system replacement window and specs on file."
"System Reorder - 2 of 3, Reorder Prompt - Replacement Nudge",System Reorder,"2 of 3, Reorder Prompt",Replacement Nudge,,Service,Yes,2.0,3.0,Yes,System replacement/reorder,"Workflow-triggered, Programmable service",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Urgency cue, Base type guidance, Lifespan next step",needs merge review,"Subject: Time to think about your next system Preview: Order now to avoid any gap between systems. Goal: Quick reorder link, or reply with changes QA build: not_built Distinct from supplies reorder; focuses on system replacement window and specs on file."
System Reorder - 3 of 3 - Loyalty Hook,System Reorder,3 of 3,Loyalty Hook,,Service,Candidate/Needs Review,3.0,3.0,Yes,System replacement/reorder,"Workflow-triggered, Programmable service",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Offer, Urgency cue",needs merge review,Subject: Your second order — a little something extra Preview: Reorder this week and we'll include a maintenance essentials kit. Goal: Reply or reorder link QA build: not_built Distinct from supplies reorder; focuses on system replacement window and specs on file.
"Winback, Sales - 3 of 4, Offer - Specific Offer","Winback, Sales","3 of 4, Offer",Specific Offer,,Marketing,No,3.0,4.0,Yes,Flow-winback,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Footer, Offer, Urgency cue",needs merge review,"Subject: $[X] off your next system, {{ contact.firstname }} Preview: A specific offer for returning customers. Goal: Reply to redeem QA build: not_built"
"Winback, Sales - 4 of 4 - Sunset Notice","Winback, Sales",4 of 4,Sunset Notice,,Sales,No,4.0,4.0,Yes,Flow-winback,Sales template / suppression workflow,,,,,,,Needs Copy Review,Needs workflow confirmation,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, FAQ block, Footer",needs merge review,"Subject: Removing you from active outreach Preview: Just want to respect your inbox. Goal: ""Keep me on the active list"" button QA build: not_built Keep only if there is a real suppression/status workflow behind it."
Continuity Renewal - 1 of 4 - 30-Day Success Snapshot,Continuity Renewal,1 of 4,30-Day Success Snapshot,,Service,Yes,1.0,4.0,Yes,Continuity plan renewal,"Programmable service, Workflow-triggered",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Urgency cue, Customer snapshot",needs merge review,"Subject: Your year on the Continuity Plan, {{ contact.firstname }} Preview: A look back at what you've achieved — and what's ahead. Goal: Reply with questions or changes QA build: not_built Critical renewal service flow; requires accurate plan/payment/spec fields."
Continuity Renewal - 2 of 4 - 14-Day Heads-Up,Continuity Renewal,2 of 4,14-Day Heads-Up,,Service,Yes,2.0,4.0,Yes,Continuity plan renewal,"Programmable service, Workflow-triggered",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Footer, Urgency cue",needs merge review,"Subject: Your plan renews in 14 days — here are the details Preview: Date, amount, and what to check before renewal. Goal: Update payment link QA build: not_built Critical renewal service flow; requires accurate plan/payment/spec fields."
Continuity Renewal - 3 of 4 - 7-Day Urgency,Continuity Renewal,3 of 4,7-Day Urgency,,Service,Yes,3.0,4.0,Yes,Continuity plan renewal,"Programmable service, Workflow-triggered",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Footer, Urgency cue",needs merge review,Subject: 7 days until your plan renews Preview: Renewing now locks in your current rate and production priority. Goal: Reply if considering cancellation QA build: not_built Critical renewal service flow; requires accurate plan/payment/spec fields.
Continuity Renewal - 4 of 4 - Final Confirmation,Continuity Renewal,4 of 4,Final Confirmation,,Service,Yes,4.0,4.0,Yes,Continuity plan renewal,"Programmable service, Workflow-triggered",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Footer, Urgency cue",needs merge review,Subject: Your plan renews tomorrow Preview: Just a final heads-up. Everything is set. Goal: Reply for changes QA build: not_built Critical renewal service flow; requires accurate plan/payment/spec fields.
Repeat Postpurch - 1 of 3 - Delivery Quickstart - Repeat Purchase,Repeat Postpurch,1 of 3,Delivery Quickstart,Repeat Purchase,Service,Candidate/Needs Review,1.0,3.0,Yes,Repeat post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Retained only for repeat/non-first purchases; do not send alongside first-customer onboarding.
Repeat Postpurch - 2 of 3 - Maintenance Schedule - Repeat Purchase,Repeat Postpurch,2 of 3,Maintenance Schedule,Repeat Purchase,Service,Candidate/Needs Review,2.0,3.0,Yes,Repeat post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Retained only for repeat/non-first purchases; do not send alongside first-customer onboarding.
Repeat Postpurch - 3 of 3 - Longevity Tips - Repeat Purchase,Repeat Postpurch,3 of 3,Longevity Tips,Repeat Purchase,Service,Candidate/Needs Review,3.0,3.0,Yes,Repeat post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Retained only for repeat/non-first purchases; do not send alongside first-customer onboarding.
Supplies Reorder - 1 of 3 - Friendly Reminder - Maintenance Supplies,Supplies Reorder,1 of 3,Friendly Reminder,Maintenance Supplies,Service,Candidate/Needs Review,1.0,,,Maintenance supplies reorder,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Distinct from system replacement reorder; focuses on maintenance products/supplies.
Supplies Reorder - 2 of 3 - Subscription Pitch - Maintenance Supplies,Supplies Reorder,2 of 3,Subscription Pitch,Maintenance Supplies,Service,Candidate/Needs Review,2.0,,,Maintenance supplies reorder,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Distinct from system replacement reorder; focuses on maintenance products/supplies.
Supplies Reorder - 3 of 3 - Last Reminder New Products - Maintenance Supplies,Supplies Reorder,3 of 3,Last Reminder New Products,Maintenance Supplies,Service,Candidate/Needs Review,3.0,,,Maintenance supplies reorder,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,Distinct from system replacement reorder; focuses on maintenance products/supplies.
Review - Review Request - Review Request - Review,Review,Review Request,Review Request,Review,Service,Candidate/Needs Review,1.0,,,review,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Review - Review Request - UGC Photo Request - Review,Review,Review Request,UGC Photo Request,Review,Service,Candidate/Needs Review,2.0,,,review,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Shipping - Shipping Update - Order Journey Expectations - Shipping,Shipping,Shipping Update,Order Journey Expectations,Shipping,Service,Candidate/Needs Review,1.0,,,shipping,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Shipping - Shipping Update - Mid-Wait Check-In - Shipping,Shipping,Shipping Update,Mid-Wait Check-In,Shipping,Service,Candidate/Needs Review,2.0,,,shipping,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
"Dunning, Service - 1 of 2, Payment Failed - Payment Failed Immediate Notice","Dunning, Service","1 of 2, Payment Failed",Payment Failed Immediate Notice,,Service,Candidate/Needs Review,1.0,2.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Footer, Urgency cue",needs merge review,"Subject: Issue with your payment, {{ contact.firstname }} Preview: Your card was declined — here's how to fix it in 30 seconds. Goal: Update payment link QA build: not_built"
"Dunning, Service - 2 of 2 - Grace Period Reminder","Dunning, Service",2 of 2,Grace Period Reminder,,Service,Candidate/Needs Review,2.0,2.0,Yes,Flow-post-purchase,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Footer, Urgency cue",needs merge review,"Subject: Your plan is paused — update needed by [date] Preview: Your production slot is being held, but we need your payment updated. Goal: Update payment link QA build: not_built"
Sales - 1 of 4 - The Honest Comeback - Comeback Sequence,Sales,1 of 4,The Honest Comeback,Comeback Sequence,Sales,No,1.0,4.0,Yes,campaign,Sales template / 1:1 manual send,,,,,,,Needs Copy Review,Manual review required,No,not mapped,,single source,1:1 relationship repair sequence; manual review before sending.
Sales - 2 of 4 - What Has Actually Changed - Comeback Sequence,Sales,2 of 4,What Has Actually Changed,Comeback Sequence,Sales,No,2.0,4.0,Yes,consultation_followup,Sales template / 1:1 manual send,,,,,,,Needs Copy Review,Manual review required,No,not mapped,,single source,1:1 relationship repair sequence; manual review before sending.
Sales - 3 of 4 - A Small Gesture - Comeback Sequence,Sales,3 of 4,A Small Gesture,Comeback Sequence,Sales,No,3.0,4.0,Yes,shipping,Sales template / 1:1 manual send,,,,,,,Needs Copy Review,Manual review required,No,not mapped,,single source,1:1 relationship repair sequence; manual review before sending.
Sales - 4 of 4 - The Quiet Exit - Comeback Sequence,Sales,4 of 4,The Quiet Exit,Comeback Sequence,Sales,No,4.0,4.0,Yes,consultation_followup,Sales template / 1:1 manual send,,,,,,,Needs Copy Review,Manual review required,No,not mapped,,single source,1:1 relationship repair sequence; manual review before sending.
Welcome - 1 of 5 - New Subscriber Introduction - Welcome,Welcome,1 of 5,New Subscriber Introduction,Welcome,Marketing,Candidate/Needs Review,1.0,5.0,Yes,campaign,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Welcome - 2 of 5 - Education Hook - Welcome,Welcome,2 of 5,Education Hook,Welcome,Marketing,Candidate/Needs Review,2.0,5.0,Yes,consultation_followup,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Welcome - 3 of 5 - Social Proof - Welcome,Welcome,3 of 5,Social Proof,Welcome,Marketing,Candidate/Needs Review,3.0,5.0,Yes,campaign,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Welcome - 4 of 5 - First Purchase Incentive - Welcome,Welcome,4 of 5,First Purchase Incentive,Welcome,Marketing,Candidate/Needs Review,4.0,5.0,Yes,review,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Welcome - 5 of 5 - Soft Close Buying Guide - Welcome,Welcome,5 of 5,Soft Close Buying Guide,Welcome,Marketing,Candidate/Needs Review,5.0,5.0,Yes,campaign,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Winback - Winback - Soft Check-in - Winback,Winback,Winback,Soft Check-in,Winback,Marketing,Candidate/Needs Review,1.0,,,winback,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Winback - Winback - What's New - Winback,Winback,Winback,What's New,Winback,Marketing,Candidate/Needs Review,2.0,,,winback,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Winback - Winback - Reengagement Offer - Winback,Winback,Winback,Reengagement Offer,Winback,Marketing,Candidate/Needs Review,3.0,,,winback,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
