Module Family,Scope,Block Type,Descriptor,Production Status,Light Module Label,Light Module Path,Dark Module Label,Dark Module Path,Editable Status,Field Count,Field Summary,Module Role,Default Use,Allowed Email Families,Allowed Implementation Surfaces,Required Data Inputs,Fallback Behavior,Compliance Sensitivity,Brand Status,Source Section,Canonical Status,Related Emails,Notes
Launch - Text - Question list,Launch,Text,Question list,Active module family,Launch - Text - Question list - Light,email_modules/launch/launch_question_list.module,Launch - Text - Question list - Dark,email_modules/launch/launch_question_list_dark.module,Editable,10.0,Eyebrow (text); Heading (text); Body (richtext); Question 1 (text); Question 2 (text); Question 3 (text); Question 4 (text); Question 5 (text); Question 6 (text); Closing text (richtext),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Launch - Image - Logo system,Launch,Image,Logo system,Active module family,Launch - Image - Logo system - Light,email_modules/launch/launch_wordmark_pair.module,Launch - Image - Logo system - Dark,email_modules/launch/launch_wordmark_pair_dark.module,Editable,6.0,Left label (text); Left logo/image (image); Left caption (text); Right label (text); Right logo/image (image); Right caption (text),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Button - Primary CTA,Newsletter,Button,Primary CTA,Active module family,Newsletter - Button - Primary CTA - Light,email_modules/newsletter/newsletter_cta_light.module,Newsletter - Button - Primary CTA - Dark,email_modules/newsletter/newsletter_cta_dark.module,Editable,4.0,Headline (text); Body (richtext); Button Text (text); Button URL (url),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Image - Feature story,Newsletter,Image,Feature story,Active module family,Newsletter - Image - Feature story - Light,email_modules/newsletter/newsletter_feature_light.module,Newsletter - Image - Feature story - Dark,email_modules/newsletter/newsletter_feature_dark.module,Editable,6.0,Hero Image (image); Eyebrow (text); Headline (text); Body (richtext); Button Text (text); Button URL (url),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Footer - Standard,Newsletter,Footer,Standard,Active module family,Newsletter - Footer - Standard - Light,email_modules/newsletter/newsletter_footer_light.module,Newsletter - Footer - Standard - Dark,email_modules/newsletter/newsletter_footer_dark.module,Editable,4.0,Logo Image (image); Instagram URL (url); Facebook URL (url); YouTube URL (url),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Text - Masthead,Newsletter,Text,Masthead,Active module family,Newsletter - Text - Masthead - Light,email_modules/newsletter/newsletter_masthead_light.module,Newsletter - Text - Masthead - Dark,email_modules/newsletter/newsletter_masthead_dark.module,Editable,3.0,Eyebrow (text); Title (text); Issue / Date (text),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Text - Pull quote,Newsletter,Text,Pull quote,Active module family,Newsletter - Text - Pull quote - Light,email_modules/newsletter/newsletter_pullquote_light.module,Newsletter - Text - Pull quote - Dark,email_modules/newsletter/newsletter_pullquote_dark.module,Editable,2.0,Quote (text); Attribution (text),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Newsletter - Two-column - Image and text,Newsletter,Two-column,Image and text,Active module family,Newsletter - Two-column - Image and text - Light,email_modules/newsletter/newsletter_two_column_light.module,Newsletter - Two-column - Image and text - Dark,email_modules/newsletter/newsletter_two_column_dark.module,Editable,8.0,Card 1 Image (image); Card 1 Eyebrow (text); Card 1 Headline (text); Card 1 Text (text); Card 2 Image (image); Card 2 Eyebrow (text); Card 2 Headline (text); Card 2 Text (text),,,Newsletter,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Hero,Planning,Section block,Hero,Active module family,CORE - Text - Hero - Light,email_modules/core/hero.module,CORE - Text - Hero - Dark,email_modules/core/hero_dark.module,Editable,6.0,Eyebrow (text); Heading (text); Body (richtext); Primary CTA label (text); Primary CTA URL (url); Supporting note (text),"Lifecycle, Marketing, Sales, Service",Use at the start of an email to establish the core message and context.,All section 18 email blueprints,HubSpot Design Manager email_modules,"Editable text, rich text, and URL fields only; no raw HTML required",Operator-safe defaults included; empty optional text still leaves readable structure,"Brand voice, claims, consent, and CTA restraint",Core Palette v1 compliant local build; not deployed to HubSpot,18.1 Standard section vocabulary,Canonical active module,"J2-Ongoing - Monthly Newsletter (https://app.notion.com/p/J2-Ongoing-Monthly-Newsletter-94465eeaafc3411da9bdcd45d518363b?pvs=21), CP-W2-Trust - A personal note from Vincent — our promise to you (https://app.notion.com/p/CP-W2-Trust-A-personal-note-from-Vincent-our-promise-to-you-6b9feed8bda142c7a15ecf8d441c9eca?pvs=21), CP-W3-Education - Lace vs. Poly — The ultimate guide to choosing your base (https://app.notion.com/p/CP-W3-Education-Lace-vs-Poly-The-ultimate-guide-to-choosing-your-base-b4464ab6d465412c8d5cb5f6d51a4356?pvs=21), CP-Launch-01 - Introducing Hair Solutions Co. — We’ve rebuilt everything (https://app.notion.com/p/CP-Launch-01-Introducing-Hair-Solutions-Co-We-ve-rebuilt-everything-c7463648aecf485296149c0b05ed2d0f?pvs=21), CP-Launch-02 - What’s new at Hair Solutions Co. — a quick tour (https://app.notion.com/p/CP-Launch-02-What-s-new-at-Hair-Solutions-Co-a-quick-tour-332ff19d8d864d6e83c3f967244a4608?pvs=21), CP-W4-First-Order - Celebrate our launch — 10% off your first order (https://app.notion.com/p/CP-W4-First-Order-Celebrate-our-launch-10-off-your-first-order-48c9e7d822c14c4e83382da8537d414b?pvs=21), CP-W4-Social-Proof - Real results from real customers (https://app.notion.com/p/CP-W4-Social-Proof-Real-results-from-real-customers-7b116659f6474fc0bc231e556af9c426?pvs=21), J1-E1 - Welcome and Resource Delivery (https://app.notion.com/p/J1-E1-Welcome-and-Resource-Delivery-3514311ddd55813f80f4ee5c959b3ed2?pvs=21), J1-E4 - Social Proof Wall (https://app.notion.com/p/J1-E4-Social-Proof-Wall-3514311ddd5581aebcf8dbed447fcc60?pvs=21), J1-E5 - Consultation Invitation (https://app.notion.com/p/J1-E5-Consultation-Invitation-3514311ddd55817387cfd01d13d5dbfc?pvs=21), J1-E2 - Brand Story and Mission (https://app.notion.com/p/J1-E2-Brand-Story-and-Mission-3514311ddd5581ff9fd9e89760c8b676?pvs=21), J1-E3 - Educational — Understanding Base Types (https://app.notion.com/p/J1-E3-Educational-Understanding-Base-Types-3514311ddd5581d284e9fd0eb79de854?pvs=21), J2-E1 - Newsletter Welcome (https://app.notion.com/p/J2-E1-Newsletter-Welcome-3514311ddd558189a45bd236db4cb588?pvs=21), J2-E3 - Style Inspiration (https://app.notion.com/p/J2-E3-Style-Inspiration-3514311ddd55812a8869e5ce5d85b4f9?pvs=21), J2-E2 - How Hair Systems Work (https://app.notion.com/p/J2-E2-How-Hair-Systems-Work-3514311ddd558135b6a6c08018e11cc8?pvs=21), J2-E4 - Maintenance Tips — Seasonal (https://app.notion.com/p/J2-E4-Maintenance-Tips-Seasonal-3514311ddd5581b69396dd339a8159d2?pvs=21), J2-E5 - Soft Consultation Invite (https://app.notion.com/p/J2-E5-Soft-Consultation-Invite-3514311ddd55813cbf03e5060855dfba?pvs=21), J3-E1 - Order Confirmation — ""Artisan Commencement"" (https://app.notion.com/p/J3-E1-Order-Confirmation-Artisan-Commencement-3514311ddd5581979698ed8d51555441?pvs=21), J3-E2 - Preparation Guide (https://app.notion.com/p/J3-E2-Preparation-Guide-3514311ddd55812dacdbed14a20921ab?pvs=21), J3-E4 - Arrival Check-In (https://app.notion.com/p/J3-E4-Arrival-Check-In-3514311ddd5581a8a3c2e8fd46b7edb4?pvs=21), J3-E3 - Shipping Notification (https://app.notion.com/p/J3-E3-Shipping-Notification-3514311ddd5581f7a2a5f00b7dc767ef?pvs=21), J3-E5 - Maintenance Academy — Week 1 (Cleansing) (https://app.notion.com/p/J3-E5-Maintenance-Academy-Week-1-Cleansing-3514311ddd5581c4bd9ec6a164b95e89?pvs=21), J3-E6 - Maintenance Academy — Week 2 (Conditioning and Drying) (https://app.notion.com/p/J3-E6-Maintenance-Academy-Week-2-Conditioning-and-Drying-3514311ddd5581428934c5882f76b4c8?pvs=21), J3-E7 - Styling and Removal (https://app.notion.com/p/J3-E7-Styling-and-Removal-3514311ddd558134b18aedcd785ee2f3?pvs=21), J3-E8 - Review Request and Next Steps (https://app.notion.com/p/J3-E8-Review-Request-and-Next-Steps-3514311ddd55811ab4f3d8151015bf1a?pvs=21), J4-E1 - Mid-Cycle Care Check (https://app.notion.com/p/J4-E1-Mid-Cycle-Care-Check-3514311ddd55812cb4c8defbc2ed7282?pvs=21), J4-E2 - Replacement Nudge (https://app.notion.com/p/J4-E2-Replacement-Nudge-3514311ddd55818ba273c320c070db5b?pvs=21), J4-E3 - Loyalty Hook (https://app.notion.com/p/J4-E3-Loyalty-Hook-3514311ddd5581009250c8fb8dbbed70?pvs=21), J6-E1 - Loyalty Acknowledgment (https://app.notion.com/p/J6-E1-Loyalty-Acknowledgment-3514311ddd5581169875c0130a2f14b9?pvs=21), J5-E4 - VIP Maintenance Check-In (https://app.notion.com/p/J5-E4-VIP-Maintenance-Check-In-3514311ddd5581088b00c236607df880?pvs=21), J5-E2 - Artisan Update — New Technology (https://app.notion.com/p/J5-E2-Artisan-Update-New-Technology-3514311ddd55815f8ddecafa6efbe02d?pvs=21), J5-E3 - Birthday or Fitting Anniversary (https://app.notion.com/p/J5-E3-Birthday-or-Fitting-Anniversary-3514311ddd5581c6b290dc41d0f3b701?pvs=21), J5-E1 - Annual Recap (https://app.notion.com/p/J5-E1-Annual-Recap-3514311ddd558112b3c8c4ad50449591?pvs=21), J6-E2 - Math of Value (https://app.notion.com/p/J6-E2-Math-of-Value-3514311ddd5581cb9204d6e6aaa6545c?pvs=21), J6-E4 - VIP Offer (https://app.notion.com/p/J6-E4-VIP-Offer-3514311ddd558186bd8bcb9d8349c389?pvs=21), J6-E3 - Peace of Mind (https://app.notion.com/p/J6-E3-Peace-of-Mind-3514311ddd55818b9c74e0cd1e7ac794?pvs=21), J7-E1 - Human Note (https://app.notion.com/p/J7-E1-Human-Note-3514311ddd55810e8f66ea11972a359e?pvs=21), J7-E2 - What’s New (https://app.notion.com/p/J7-E2-What-s-New-3514311ddd55816cbbd9ca4ae4c48834?pvs=21), J7-E3 - Specific Offer (https://app.notion.com/p/J7-E3-Specific-Offer-3514311ddd5581ef9f9de3672d2e74ce?pvs=21), J7-E4 - Sunset Notice (https://app.notion.com/p/J7-E4-Sunset-Notice-3514311ddd5581e9ad0df5feaeb354e2?pvs=21), J8-E1 - 30-Day Success Snapshot (https://app.notion.com/p/J8-E1-30-Day-Success-Snapshot-3514311ddd5581fab02ce4a649cdb73a?pvs=21), J8-E2 - 14-Day Heads-Up (https://app.notion.com/p/J8-E2-14-Day-Heads-Up-3514311ddd5581d4a769c0a1cfe14c58?pvs=21), J8-E3 - 7-Day Urgency (https://app.notion.com/p/J8-E3-7-Day-Urgency-3514311ddd55816cb2d1ecdb197ced1f?pvs=21), J8-E4 - Final Confirmation (https://app.notion.com/p/J8-E4-Final-Confirmation-3514311ddd55817ca8e7fd48970bf7e1?pvs=21), SUPP-D1 - Payment Failed Immediate Notice (https://app.notion.com/p/SUPP-D1-Payment-Failed-Immediate-Notice-3514311ddd5581d3bbfbfdd120685d01?pvs=21), SUPP-D2 - Grace Period Reminder (https://app.notion.com/p/SUPP-D2-Grace-Period-Reminder-3514311ddd55815b9b6fd5d605df6321?pvs=21), CS-R-NLP - Consultation recap - no local partner (https://app.notion.com/p/CS-R-NLP-Consultation-recap-no-local-partner-3514311ddd5581ba8ffcf61c767922f5?pvs=21), CS-R-USD - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-USD-Consultation-recap-standard-currency-variant-3514311ddd5581a48ccbf22277cce14e?pvs=21), CS-R-GBP - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-GBP-Consultation-recap-standard-currency-variant-3514311ddd55815cb608c14701fa3d67?pvs=21), CS-R-CAD - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-CAD-Consultation-recap-standard-currency-variant-3514311ddd55817bbc62d76746d3727c?pvs=21), CS-R-EUR - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-EUR-Consultation-recap-standard-currency-variant-3514311ddd558127a2e4c649a38feedd?pvs=21), CS-F-D5 - Follow-up day 5 (https://app.notion.com/p/CS-F-D5-Follow-up-day-5-3514311ddd5581dea787f6fcf82ed3e7?pvs=21), CS-R-CSU - Consultation recap - current system user (https://app.notion.com/p/CS-R-CSU-Consultation-recap-current-system-user-3514311ddd55818f99c6c75c2200ab77?pvs=21), CS-R-FP - Consultation recap - front partial (https://app.notion.com/p/CS-R-FP-Consultation-recap-front-partial-3514311ddd55814ca993c223be5af087?pvs=21), CS-F-D10 - Follow-up day 10 (https://app.notion.com/p/CS-F-D10-Follow-up-day-10-3514311ddd558122b28cc689b5be8704?pvs=21), CS-F-D90 - Follow-up day 90 reengagement (https://app.notion.com/p/CS-F-D90-Follow-up-day-90-reengagement-3514311ddd558186a62fe0cde5794a4b?pvs=21), CS-F-D5U - Follow-up day 5 - current user (https://app.notion.com/p/CS-F-D5U-Follow-up-day-5-current-user-3514311ddd5581e1bcf6c2617b65f1aa?pvs=21), CS-F-FCL - Final close loop (https://app.notion.com/p/CS-F-FCL-Final-close-loop-3514311ddd5581a593aac5fd7b6e77b7?pvs=21), CS-F-D10U - Follow-up day 10 - current user (https://app.notion.com/p/CS-F-D10U-Follow-up-day-10-current-user-3514311ddd5581768759c291e2fac6df?pvs=21), CS-S-PDS - Products & services information - supporting (https://app.notion.com/p/CS-S-PDS-Products-services-information-supporting-3514311ddd5581539768e5a00eed2354?pvs=21), CS-S-FER - First enquiry reply - supporting (https://app.notion.com/p/CS-S-FER-First-enquiry-reply-supporting-3514311ddd55816ca5dfe661a3a568c6?pvs=21), CS-S-HME - Home maintenance extension - supporting (https://app.notion.com/p/CS-S-HME-Home-maintenance-extension-supporting-3514311ddd5581489caac94bed164795?pvs=21)",Built locally 2026-07-03 as CORE Light/Dark module family. Requires HubSpot deployment approval before live Design Manager use.
Reassurance,Planning,Section block,Reassurance,Active module family,CORE - Text - Reassurance - Light,email_modules/core/reassurance.module,CORE - Text - Reassurance - Dark,email_modules/core/reassurance_dark.module,Editable,9.0,Eyebrow (text); Heading (text); Body (richtext); Point 1 label (text); Point 1 text (text); Point 2 label (text); Point 2 text (text); Point 3 label (text); Point 3 text (text),"Lifecycle, Operational, Sales, Service","Use whenever the reader may feel risk, uncertainty, or pressure.","All journeys, especially J3, J4, J7, J8, SUPP, CS",HubSpot Design Manager email_modules,"Editable text, rich text, and URL fields only; no raw HTML required",Operator-safe defaults included; empty optional text still leaves readable structure,"Brand voice, claims, consent, and CTA restraint",Core Palette v1 compliant local build; not deployed to HubSpot,18.1 Standard section vocabulary,Canonical active module,"J2-Ongoing - Monthly Newsletter (https://app.notion.com/p/J2-Ongoing-Monthly-Newsletter-94465eeaafc3411da9bdcd45d518363b?pvs=21), CP-W2-Trust - A personal note from Vincent — our promise to you (https://app.notion.com/p/CP-W2-Trust-A-personal-note-from-Vincent-our-promise-to-you-6b9feed8bda142c7a15ecf8d441c9eca?pvs=21), CP-W3-Education - Lace vs. Poly — The ultimate guide to choosing your base (https://app.notion.com/p/CP-W3-Education-Lace-vs-Poly-The-ultimate-guide-to-choosing-your-base-b4464ab6d465412c8d5cb5f6d51a4356?pvs=21), CP-Launch-01 - Introducing Hair Solutions Co. — We’ve rebuilt everything (https://app.notion.com/p/CP-Launch-01-Introducing-Hair-Solutions-Co-We-ve-rebuilt-everything-c7463648aecf485296149c0b05ed2d0f?pvs=21), CP-Launch-02 - What’s new at Hair Solutions Co. — a quick tour (https://app.notion.com/p/CP-Launch-02-What-s-new-at-Hair-Solutions-Co-a-quick-tour-332ff19d8d864d6e83c3f967244a4608?pvs=21), CP-W4-First-Order - Celebrate our launch — 10% off your first order (https://app.notion.com/p/CP-W4-First-Order-Celebrate-our-launch-10-off-your-first-order-48c9e7d822c14c4e83382da8537d414b?pvs=21), CP-W4-Social-Proof - Real results from real customers (https://app.notion.com/p/CP-W4-Social-Proof-Real-results-from-real-customers-7b116659f6474fc0bc231e556af9c426?pvs=21), J1-E1 - Welcome and Resource Delivery (https://app.notion.com/p/J1-E1-Welcome-and-Resource-Delivery-3514311ddd55813f80f4ee5c959b3ed2?pvs=21), J1-E4 - Social Proof Wall (https://app.notion.com/p/J1-E4-Social-Proof-Wall-3514311ddd5581aebcf8dbed447fcc60?pvs=21), J1-E5 - Consultation Invitation (https://app.notion.com/p/J1-E5-Consultation-Invitation-3514311ddd55817387cfd01d13d5dbfc?pvs=21), J1-E2 - Brand Story and Mission (https://app.notion.com/p/J1-E2-Brand-Story-and-Mission-3514311ddd5581ff9fd9e89760c8b676?pvs=21), J1-E3 - Educational — Understanding Base Types (https://app.notion.com/p/J1-E3-Educational-Understanding-Base-Types-3514311ddd5581d284e9fd0eb79de854?pvs=21), J2-E1 - Newsletter Welcome (https://app.notion.com/p/J2-E1-Newsletter-Welcome-3514311ddd558189a45bd236db4cb588?pvs=21), J2-E3 - Style Inspiration (https://app.notion.com/p/J2-E3-Style-Inspiration-3514311ddd55812a8869e5ce5d85b4f9?pvs=21), J2-E2 - How Hair Systems Work (https://app.notion.com/p/J2-E2-How-Hair-Systems-Work-3514311ddd558135b6a6c08018e11cc8?pvs=21), J2-E4 - Maintenance Tips — Seasonal (https://app.notion.com/p/J2-E4-Maintenance-Tips-Seasonal-3514311ddd5581b69396dd339a8159d2?pvs=21), J2-E5 - Soft Consultation Invite (https://app.notion.com/p/J2-E5-Soft-Consultation-Invite-3514311ddd55813cbf03e5060855dfba?pvs=21), J3-E1 - Order Confirmation — ""Artisan Commencement"" (https://app.notion.com/p/J3-E1-Order-Confirmation-Artisan-Commencement-3514311ddd5581979698ed8d51555441?pvs=21), J3-E2 - Preparation Guide (https://app.notion.com/p/J3-E2-Preparation-Guide-3514311ddd55812dacdbed14a20921ab?pvs=21), J3-E4 - Arrival Check-In (https://app.notion.com/p/J3-E4-Arrival-Check-In-3514311ddd5581a8a3c2e8fd46b7edb4?pvs=21), J3-E3 - Shipping Notification (https://app.notion.com/p/J3-E3-Shipping-Notification-3514311ddd5581f7a2a5f00b7dc767ef?pvs=21), J3-E5 - Maintenance Academy — Week 1 (Cleansing) (https://app.notion.com/p/J3-E5-Maintenance-Academy-Week-1-Cleansing-3514311ddd5581c4bd9ec6a164b95e89?pvs=21), J3-E6 - Maintenance Academy — Week 2 (Conditioning and Drying) (https://app.notion.com/p/J3-E6-Maintenance-Academy-Week-2-Conditioning-and-Drying-3514311ddd5581428934c5882f76b4c8?pvs=21), J3-E7 - Styling and Removal (https://app.notion.com/p/J3-E7-Styling-and-Removal-3514311ddd558134b18aedcd785ee2f3?pvs=21), J3-E8 - Review Request and Next Steps (https://app.notion.com/p/J3-E8-Review-Request-and-Next-Steps-3514311ddd55811ab4f3d8151015bf1a?pvs=21), J4-E1 - Mid-Cycle Care Check (https://app.notion.com/p/J4-E1-Mid-Cycle-Care-Check-3514311ddd55812cb4c8defbc2ed7282?pvs=21), J4-E2 - Replacement Nudge (https://app.notion.com/p/J4-E2-Replacement-Nudge-3514311ddd55818ba273c320c070db5b?pvs=21), J4-E3 - Loyalty Hook (https://app.notion.com/p/J4-E3-Loyalty-Hook-3514311ddd5581009250c8fb8dbbed70?pvs=21), J6-E1 - Loyalty Acknowledgment (https://app.notion.com/p/J6-E1-Loyalty-Acknowledgment-3514311ddd5581169875c0130a2f14b9?pvs=21), J5-E4 - VIP Maintenance Check-In (https://app.notion.com/p/J5-E4-VIP-Maintenance-Check-In-3514311ddd5581088b00c236607df880?pvs=21), J5-E2 - Artisan Update — New Technology (https://app.notion.com/p/J5-E2-Artisan-Update-New-Technology-3514311ddd55815f8ddecafa6efbe02d?pvs=21), J5-E3 - Birthday or Fitting Anniversary (https://app.notion.com/p/J5-E3-Birthday-or-Fitting-Anniversary-3514311ddd5581c6b290dc41d0f3b701?pvs=21), J5-E1 - Annual Recap (https://app.notion.com/p/J5-E1-Annual-Recap-3514311ddd558112b3c8c4ad50449591?pvs=21), J6-E2 - Math of Value (https://app.notion.com/p/J6-E2-Math-of-Value-3514311ddd5581cb9204d6e6aaa6545c?pvs=21), J6-E4 - VIP Offer (https://app.notion.com/p/J6-E4-VIP-Offer-3514311ddd558186bd8bcb9d8349c389?pvs=21), J6-E3 - Peace of Mind (https://app.notion.com/p/J6-E3-Peace-of-Mind-3514311ddd55818b9c74e0cd1e7ac794?pvs=21), J7-E1 - Human Note (https://app.notion.com/p/J7-E1-Human-Note-3514311ddd55810e8f66ea11972a359e?pvs=21), J7-E2 - What’s New (https://app.notion.com/p/J7-E2-What-s-New-3514311ddd55816cbbd9ca4ae4c48834?pvs=21), J7-E3 - Specific Offer (https://app.notion.com/p/J7-E3-Specific-Offer-3514311ddd5581ef9f9de3672d2e74ce?pvs=21), J7-E4 - Sunset Notice (https://app.notion.com/p/J7-E4-Sunset-Notice-3514311ddd5581e9ad0df5feaeb354e2?pvs=21), J8-E1 - 30-Day Success Snapshot (https://app.notion.com/p/J8-E1-30-Day-Success-Snapshot-3514311ddd5581fab02ce4a649cdb73a?pvs=21), J8-E2 - 14-Day Heads-Up (https://app.notion.com/p/J8-E2-14-Day-Heads-Up-3514311ddd5581d4a769c0a1cfe14c58?pvs=21), J8-E3 - 7-Day Urgency (https://app.notion.com/p/J8-E3-7-Day-Urgency-3514311ddd55816cb2d1ecdb197ced1f?pvs=21), J8-E4 - Final Confirmation (https://app.notion.com/p/J8-E4-Final-Confirmation-3514311ddd55817ca8e7fd48970bf7e1?pvs=21), SUPP-D1 - Payment Failed Immediate Notice (https://app.notion.com/p/SUPP-D1-Payment-Failed-Immediate-Notice-3514311ddd5581d3bbfbfdd120685d01?pvs=21), SUPP-D2 - Grace Period Reminder (https://app.notion.com/p/SUPP-D2-Grace-Period-Reminder-3514311ddd55815b9b6fd5d605df6321?pvs=21), CS-R-NLP - Consultation recap - no local partner (https://app.notion.com/p/CS-R-NLP-Consultation-recap-no-local-partner-3514311ddd5581ba8ffcf61c767922f5?pvs=21), CS-R-USD - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-USD-Consultation-recap-standard-currency-variant-3514311ddd5581a48ccbf22277cce14e?pvs=21), CS-R-GBP - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-GBP-Consultation-recap-standard-currency-variant-3514311ddd55815cb608c14701fa3d67?pvs=21), CS-R-CAD - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-CAD-Consultation-recap-standard-currency-variant-3514311ddd55817bbc62d76746d3727c?pvs=21), CS-R-EUR - Consultation recap - standard currency variant (https://app.notion.com/p/CS-R-EUR-Consultation-recap-standard-currency-variant-3514311ddd558127a2e4c649a38feedd?pvs=21), CS-F-D5 - Follow-up day 5 (https://app.notion.com/p/CS-F-D5-Follow-up-day-5-3514311ddd5581dea787f6fcf82ed3e7?pvs=21), CS-R-CSU - Consultation recap - current system user (https://app.notion.com/p/CS-R-CSU-Consultation-recap-current-system-user-3514311ddd55818f99c6c75c2200ab77?pvs=21), CS-R-FP - Consultation recap - front partial (https://app.notion.com/p/CS-R-FP-Consultation-recap-front-partial-3514311ddd55814ca993c223be5af087?pvs=21), CS-F-D10 - Follow-up day 10 (https://app.notion.com/p/CS-F-D10-Follow-up-day-10-3514311ddd558122b28cc689b5be8704?pvs=21), CS-F-D90 - Follow-up day 90 reengagement (https://app.notion.com/p/CS-F-D90-Follow-up-day-90-reengagement-3514311ddd558186a62fe0cde5794a4b?pvs=21), CS-F-D5U - Follow-up day 5 - current user (https://app.notion.com/p/CS-F-D5U-Follow-up-day-5-current-user-3514311ddd5581e1bcf6c2617b65f1aa?pvs=21), CS-F-FCL - Final close loop (https://app.notion.com/p/CS-F-FCL-Final-close-loop-3514311ddd5581a593aac5fd7b6e77b7?pvs=21), CS-F-D10U - Follow-up day 10 - current user (https://app.notion.com/p/CS-F-D10U-Follow-up-day-10-current-user-3514311ddd5581768759c291e2fac6df?pvs=21), CS-S-PDS - Products & services information - supporting (https://app.notion.com/p/CS-S-PDS-Products-services-information-supporting-3514311ddd5581539768e5a00eed2354?pvs=21), CS-S-FER - First enquiry reply - supporting (https://app.notion.com/p/CS-S-FER-First-enquiry-reply-supporting-3514311ddd55816ca5dfe661a3a568c6?pvs=21), CS-S-HME - Home maintenance extension - supporting (https://app.notion.com/p/CS-S-HME-Home-maintenance-extension-supporting-3514311ddd5581489caac94bed164795?pvs=21)",Built locally 2026-07-03 as CORE Light/Dark module family. Requires HubSpot deployment approval before live Design Manager use.
